,region_code,city,upload_kbps_2008,upload_kbps_2009,upload_kbps_2010,upload_kbps_2011,upload_kbps_2012,upload_kbps_2013,upload_kbps_2014,total_tests_2008,total_tests_2009,total_tests_2010,total_tests_2011,total_tests_2012,total_tests_2013,total_tests_2014,download_kbps_2008,download_kbps_2009,download_kbps_2010,download_kbps_2011,download_kbps_2012,download_kbps_2013,download_kbps_2014,over200_2008,over200_2009,over200_2010,over200_2011,over200_2012,over200_2013,over200_2014,zip,primary_city,state
7874,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10307,Staten Island,NY
7875,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10308,Staten Island,NY
7876,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10309,Staten Island,NY
7877,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10310,Staten Island,NY
7878,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10311,Staten Island,NY
7879,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10312,Staten Island,NY
7880,NY,Staten Island,3085.337541,5379.687699,7361.32737,7643.621507,11125.61191,14625.72712,17005.72436,1184512,1675872,2305237,2704231,2157470,1950015,2850207,11100.81025,15249.15315,18497.52548,16966.58466,23229.49365,29328.76712,36146.90036,1184512,1675872,2305237,2704231,2157470,1950015,2850207,10314,Staten Island,NY
7881,NY,Stony Brook,2684.863257,3544.093204,3941.223984,4252.667808,5016.641133,9765.411973,19640.21855,43756,75469,107043,178410,147687,150591,147359,14694.43114,14337.52285,13159.93283,17591.92827,26605.24779,31281.11151,36113.28509,43756,75469,107043,178410,147687,150591,147359,11790,Stony Brook,NY
7882,NY,Stony Point,3516.623408,3812.254189,6374.920797,6006.95217,9565.328089,14542.18758,24346.13636,23348,55293,116425,139961,139336,141269,140352,10821.99831,12152.1574,14270.76071,19433.64066,25408.62022,35118.23571,42441.64655,23348,55293,116425,139961,139336,141269,140352,10980,Stony Point,NY
7883,NY,Stormville,,,,,3384.213333,8722.947493,14722.66358,,,,,14181,66024,54457,,,,,17017.00794,30025.55723,35039.2,,,,,14181,66024,54457,12582,Stormville,NY
