"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"56003"," ","Big Horn WY"," ",11668,1 
"56005","23940","Campbell WY","Gillette, WY",46133,1 
"56007"," ","Carbon WY"," ",15885,1 
"56009"," ","Converse WY"," ",13833,1 
"56011"," ","Crook WY"," ",7083,1 
"56013","40180","Fremont WY","Riverton, WY",40123,1 
"56015"," ","Goshen WY"," ",13249,1 
"56017"," ","Hot Springs WY"," ",4812,1 
"56019"," ","Johnson WY"," ",8569,1 
"56021","16940","Laramie WY","Cheyenne, WY",91738,1 
"56023"," ","Lincoln WY"," ",18106,1 
"56025","16220","Natrona WY","Casper, WY",75450,1 
"56027"," ","Niobrara WY"," ",2484,1 
"56029"," ","Park WY"," ",28205,1 
"56031"," ","Platte WY"," ",8667,1 
"56033","43260","Sheridan WY","Sheridan, WY",29116,1 
"56035"," ","Sublette WY"," ",10247,1 
"56037","40540","Sweetwater WY","Rock Springs, WY",43806,1 
"56039","27220","Teton WY","Jackson, WY-ID",21294,1 
"56041","21740","Uinta WY","Evanston, WY",21118,1 
"56043"," ","Washakie WY"," ",8533,1 
"56045"," ","Weston WY"," ",7208,1 
